snapshot_utc,pid,process_name,subsystem,state,cpu_pct,mem_kb,mem_pct,priority,threads,open_fds,elapsed_time,last_cpu_time_us,sched_policy,context_switches,description,arquivo_origem,data_processamento,satellite_id,orbit_number,orbit_plane,timestamp_utc,sequence_number,anomalies,checksum,thermal_obc_temp_c,thermal_battery_temp_c,thermal_panel_temp_c,thermal_structure_temp_c,power_bus_voltage_v,power_solar_current_a,power_load_current_a,power_battery_soc_pct,power_in_eclipse,power_power_balance_w,orbital_latitude_deg,orbital_longitude_deg,orbital_altitude_km,orbital_velocity_km_s,orbital_inclination_deg,orbital_raan_deg,attitude_roll_deg,attitude_pitch_deg,attitude_yaw_deg,attitude_angular_rate_x,attitude_angular_rate_y,attitude_angular_rate_z,subsystems_obc_state,subsystems_obc_uptime_s,subsystems_obc_error_count,subsystems_adcs_state,subsystems_adcs_uptime_s,subsystems_adcs_error_count,subsystems_eps_state,subsystems_eps_uptime_s,subsystems_eps_error_count,subsystems_comms_state,subsystems_comms_uptime_s,subsystems_comms_error_count,subsystems_tcs_state,subsystems_tcs_uptime_s,subsystems_tcs_error_count,subsystems_payload_state,subsystems_payload_uptime_s,subsystems_payload_error_count,comms_rssi_dbm,comms_snr_db,comms_ber,comms_packets_sent,comms_packets_lost,comms_last_contact_station,timestamp,temp_obc_c,temp_bateria_c,temp_painel_solar_c,tensao_bus_v,corrente_solar_a,corrente_carga_a,soc_bateria_pct,latitude_deg,longitude_deg,altitude_km,em_eclipse,rssi_dbm,ber,estado_obc,estado_adcs,estado_eps,estado_comms,estado_tcs,estado_payload
2026-06-16T14:32:07Z,1.0,init,OBC,S,0.03,490.0,0.187,0.0,6.0,60.0,184:21:02,46230.0,SCHED_FIFO,34573.0,Init system,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,2.0,kthreadd,OBC,S,0.0,124.0,0.047,-20.0,2.0,64.0,662:09:34,13558.0,SCHED_OTHER,75419.0,Kernel thread manager,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,101.0,obc_supervisor,OBC,S,1.29,3993.0,1.523,-5.0,5.0,42.0,360:43:40,11803.0,SCHED_FIFO,59506.0,Main OBC supervisor process,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,102.0,watchdog,OBC,S,0.03,260.0,0.099,-10.0,8.0,31.0,335:09:02,38599.0,SCHED_FIFO,38243.0,Hardware watchdog,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,103.0,fault_manager,OBC,S,0.35,2109.0,0.805,0.0,1.0,47.0,20:59:02,39492.0,SCHED_FIFO,4706.0,Fault detection and recovery,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,201.0,adcs_ctrl,ADCS,R,5.47,8400.0,3.204,5.0,3.0,38.0,272:08:42,17231.0,SCHED_OTHER,38602.0,Attitude determination and control,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,202.0,star_tracker,ADCS,R,3.17,6020.0,2.296,5.0,7.0,58.0,673:14:18,24901.0,SCHED_OTHER,11608.0,Star tracker image processing,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,203.0,magnetorquer_drv,ADCS,S,0.42,987.0,0.377,0.0,1.0,35.0,101:57:28,36344.0,SCHED_OTHER,6062.0,Magnetorquer driver,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,204.0,rw_controller,ADCS,R,2.76,2996.0,1.143,5.0,6.0,53.0,418:24:02,20629.0,SCHED_FIFO,40158.0,Reaction wheel controller,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T14:32:07Z,301.0,eps_monitor,EPS,S,0.8,2073.0,0.791,0.0,2.0,3.0,86:06:28,10978.0,SCHED_RR,70358.0,EPS housekeeping monitor,processos_embarcados.csv,2026-06-16 20:18:28.005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
